GEOID,all,black,native,aapi,add,white,latino,City,Geography,System,Area,Metric,Measure,Source,Year,BiggerBetter,geolevel
48085031649,0.046254604993860006,0,NA,0.07894736842105263,0.29441624365482233,0.012101910828025478,0.3240223463687151,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031704,0.013261000602772756,0,NA,0,0.07547169811320754,0.009624639076034648,0.06382978723404255,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031706,0,0,NA,0,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031708,0.01898101898101898,0.02972972972972973,0,0,0.14835164835164835,0,0.13043478260869565,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031709,0.06264501160092807,0.16195372750642673,NA,0.1301989150090416,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031711,0.005714285714285714,0,0,0,0.1232876712328767,0,0.09183673469387756,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031713,0.029867256637168143,0.03961584633853541,NA,0,0,0.009127789046653144,0.09448818897637795,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031715,0.020739404869251576,0,NA,0,0,0,0.3898305084745763,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031716,0.01911667765326302,0,NA,0.13768115942028986,0,0,0.03676470588235294,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
48085031717,0.014340344168260038,0,NA,0.18072289156626506,0,0,0,"Dallas, TX",Tract,Human Development,Housing Quality and Affordability,Overcrowded Housing (More than 1 occupant per room),%,ACS 5-year,2022,0,2
